workerid,item,response,response_type,partial,condition
2266,5,he will do,pronoun male,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
1695,3,the vice president,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1827,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2338,3,celebrate,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1968,12,safe travels around the World.,OTHER,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2595,2,unity i hope and secure the border! also help prevent ww3.,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
1586,10,leading the way when the celebration begins,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2950,5,they made during their campaign,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2292,10,more secure than previous years,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2855,10,given the highest security possible.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2302,12,the safety and security of the newly elected president.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2402,3,his family,pronoun male,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1521,4,they make their first speech as president.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2378,8,I will ensure that this process is carried out rightfully and efficiently.,OTHER,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2237,4,new policies are to advance.,OTHER,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1610,5,that he promised,pronoun male,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",event-cloze
1748,5,were given during the campaign.,OTHER,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2535,12,their safe travel upon assuming office.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2270,9,the most crucial will be dealing with conspiracy theory lunatics who contest the legitimacy of the election.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
1533,1,he will do is prepare his plans.,pronoun male,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",event-cloze
2454,12,Donald Trump will win.,Trump,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2401,1,he or she will do is send billions of dollars to fund the genocide in Palestine.,hedged,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2616,3,the president-elect.,ambiguous NP,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1898,10,comprised of himself as well as his team. Himself being Donald Trump,pronoun male,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2939,10,for Donald Trump to be sworn in as the 47th President of the United States.,Trump,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
2856,2,on what he is willing  to do for the country,pronoun male,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
1684,3,keep them safe and secure.,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
1933,3,ensure that the president's safety is top priority.,ambiguous NP,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
2158,9,the most controversial wins in a century.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
1936,12,safe arrival and departure of the president that day.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
1502,3,ensure that the perimeter around the Capitol Building is secure.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2157,4,he or she is sworn in.,hedged,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2680,3,and make sure everything is carried out smoothly and safely.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1594,9,the most politically divided US populations ever seen.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
1673,5,they made while on the campaign trail.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",event-cloze
1828,10,will be escorted by the secret service,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
1804,9,these challenges will be unifying the country after a contentious election.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2791,10,escorted by secret service agents along with a high level security detail.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
2591,3,and the new Vice President as well as the families of each.,ambiguous NP,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2934,9,"the biggest, is immigration.",OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2521,2,"making America great again by fixing the economy, deporting the tens of millions of illegals, and bringing jobs back to the United States.",OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2058,12,the safety of the President wherever they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2127,8,the president is responsible for the safety of all Americans.,ambiguous NP,"The next US president will be sworn into office in January 2025. As commander in chief,",event-cloze
2306,2,the importance of lowering the prices of goods and interest rates.,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
1724,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2259,10,surrounded by extremely heightened security especially if its Trump since everyone wants to take a shot at him.,pronoun male,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2145,11,she goes.,pronoun female,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
1632,1,on his list is to appoint members to his administration.,pronoun male,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2922,5,He will appreciate some social and economical patterns in politics which will predict and make some claims for the future.,pronoun male,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2676,5,their campaigns run on.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",event-cloze
2506,3,and keep him or her safe,pronoun female,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1969,3,all the candidates for president.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2178,11,he goes.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
2515,1,the president will do is get briefed on all security matters.,ambiguous NP,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1404,9,"several mounting national security issues, which being deteriorating relationship with China.",OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
2041,4,she is inaugurated,pronoun female,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1924,4,he is sworn into office.,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2569,10,"at least 50 Vehicles, The Motorcade includes the presidents official vehicle, armored vehicles, and support vehicles. The Secret Service organizes and manages the motorcade.",ambiguous NP,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2329,12,they will arrive in DC safely and swiftly in preparation for the inauguration.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2196,4,they are inaugurated on the steps of the capital.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2615,4,they take their first actions.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
